,id,createTime,modifyTime,tags,countryType,continents,provinceId,provinceName,provinceShortName,cityName,currentConfirmedCount,confirmedCount,confirmedCountRank,suspectedCount,curedCount,deadCount,deadCountRank,deadRate,deadRateRank,comment,sort,operator,locationId,countryShortCode,countryFullName,statisticsData,incrVo,showRank
178,1689776.0,1585104137000.0,1585104137000.0,,2,亚洲,10,缅甸,,,2,2,,0,0,0,,0.00,,,0.0,yuyb,952001,MMR,Myanmar,https://file1.dxycdn.com/2020/0324/456/3403794290450271454-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",False
179,1689780.0,1585104137000.0,1585104137000.0,,2,亚洲,10,老挝,,,2,2,,0,0,0,,0.00,,,0.0,yuyb,952006,LAO,Laos,https://file1.dxycdn.com/2020/0325/227/3403979839479981624-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",False
180,1689154.0,1585104136000.0,1585104136000.0,,2,亚洲,10,尼泊尔,,,1,2,,0,1,0,,0.00,,,0.0,yuyb,953005,NPL,Nepal,https://file1.dxycdn.com/2020/0315/813/3402160536430196712-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",False
181,1689421.0,1585104136000.0,1585104136000.0,,2,欧洲,10,梵蒂冈,,,1,1,,0,0,0,,0.00,,,0.0,yuyb,965017,VAT,Holy See,https://file1.dxycdn.com/2020/0315/719/3402160489185554691-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",False
182,1689666.0,1585104137000.0,1585104137000.0,,2,北美洲,10,圣文森特和格林纳丁斯,,,1,1,,0,0,0,,0.00,,,0.0,yuyb,974012,VCT,Saint Vincent and the Grenadines,https://file1.dxycdn.com/2020/0315/434/3402160510660391899-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",False
183,1689675.0,1585104137000.0,1585104137000.0,,2,北美洲,10,安提瓜和巴布达,,,1,1,,0,0,0,,0.00,,,0.0,yuyb,974001,ATG,Antigua & Barbuda,https://file1.dxycdn.com/2020/0315/128/3402176462169224100-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",False
184,1689701.0,1585104137000.0,1585104137000.0,,2,非洲,10,索马里,,,1,1,,0,0,0,,0.00,,,0.0,yuyb,985008,SOM,Somalia,https://file1.dxycdn.com/2020/0318/580/3402666777783217068-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",False
185,1689761.0,1585104137000.0,1585104137000.0,,2,亚洲,10,东帝汶,,,1,1,,0,0,0,,0.00,,,0.0,yuyb,952004,TLS,Tinor-Leste,https://file1.dxycdn.com/2020/0322/192/3403423200980673679-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",False
186,1689766.0,1585104137000.0,1585104137000.0,,2,大洋洲,10,巴布亚新几内亚,,,1,1,,0,0,0,,0.00,,,0.0,yuyb,990009,PNG,Papua New Guinea,https://file1.dxycdn.com/2020/0322/772/3403423200980799180-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",False
187,1689767.0,1585104137000.0,1585104137000.0,,2,非洲,10,厄立特里亚,,,1,1,,0,0,0,,0.00,,,0.0,yuyb,985003,ERI,Eritrea,https://file1.dxycdn.com/2020/0322/928/3403423203128282836-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",False
188,1689770.0,1585104137000.0,1585104137000.0,,2,北美洲,10,蒙特塞拉特,,,1,1,,0,0,0,,0.00,,,0.0,yuyb,0,MS,Montserrat,https://file1.dxycdn.com/2020/0323/017/3403608739273213039-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",False
189,1689775.0,1585104137000.0,1585104137000.0,,2,亚洲,10,叙利亚,,,1,1,,0,0,0,,0.00,,,0.0,yuyb,955017,SYR,Syrian ArabRepublic,https://file1.dxycdn.com/2020/0324/270/3403794290450024898-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",False
190,1689777.0,1585104137000.0,1585104137000.0,,2,北美洲,10,伯利兹,,,1,1,,0,0,0,,0.00,,,0.0,yuyb,972001,BLZ,Belize,https://file1.dxycdn.com/2020/0324/768/3403794290450024936-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",False
191,1689778.0,1585104137000.0,1585104137000.0,,2,北美洲,10,格林那达,,,1,1,,0,0,0,,0.00,,,0.0,yuyb,0,GRD,Grenada,https://file1.dxycdn.com/2020/0324/601/3403794292597755143-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",False
192,1689782.0,1585104137000.0,1585104137000.0,,2,北美洲,10,多米尼克,,,1,1,,0,0,0,,0.00,,,0.0,yuyb,974005,DMA,Dominica,https://file1.dxycdn.com/2020/0325/162/3403979839479547471-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",False
193,1689783.0,1585104137000.0,1585104137000.0,,2,北美洲,10,特克斯和凯科斯群岛,,,1,1,,0,0,0,,0.00,,,0.0,yuyb,0,TCA,Turks & Caicos Islands,https://file1.dxycdn.com/2020/0325/278/3403979839479981638-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",False
