,id,createTime,modifyTime,tags,countryType,continents,provinceId,provinceName,provinceShortName,cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment,sort,operator,locationId,countryShortCode,countryFullName,statisticsData
140,1160757.0,1584429696000.0,1584429696000.0,,2,北美洲,10,圣文森特和格林纳丁斯,,,1,1,0,0,0,,0.0,chend,974012,VCT,Saint Vincent and the Grenadines,https://file1.dxycdn.com/2020/0315/434/3402160510660391899-135.json
141,1160760.0,1584429696000.0,1584429696000.0,,2,非洲,10,赤道几内亚,,,1,1,0,0,0,,0.0,chend,0,GNQ,Eq.Guinea,https://file1.dxycdn.com/2020/0316/516/3402290519320312671-135.json
142,1160762.0,1584429696000.0,1584429696000.0,,2,非洲,10,几内亚,,,1,1,0,0,0,,0.0,chend,0,GIN,Guinea,https://file1.dxycdn.com/2020/0315/931/3402176481496577677-135.json
143,1160763.0,1584429696000.0,1584429696000.0,,2,非洲,10,毛里塔尼亚,,,1,1,0,0,0,,0.0,chend,982012,MRT,Mauritania,https://file1.dxycdn.com/2020/0316/365/3402290519320312697-135.json
144,1160764.0,1584429696000.0,1584429696000.0,,2,非洲,10,斯威士兰,,,1,1,0,0,0,,0.0,chend,984010,SWZ,Swaziland,https://file1.dxycdn.com/2020/0316/269/3402290530057731261-135.json
145,1160766.0,1584429696000.0,1584429696000.0,,2,北美洲,10,安提瓜和巴布达,,,1,1,0,0,0,,0.0,chend,974001,ATG,Antigua & Barbuda,https://file1.dxycdn.com/2020/0315/128/3402176462169224100-135.json
146,1160769.0,1584429696000.0,1584429696000.0,,2,北美洲,10,巴哈马,,,1,1,0,0,0,,0.0,chend,974002,BHS,Bahamas,
147,1160770.0,1584429696000.0,1584429696000.0,,2,非洲,10,中非共和国,,,1,1,0,0,0,,0.0,chend,983002,CAF,Central African Republic,https://file1.dxycdn.com/2020/0317/940/3402535592301799575-135.json
148,1160771.0,1584429696000.0,1584429696000.0,,2,非洲,10,刚果（布）,,,1,1,0,0,0,,0.0,chend,0,COG,Congo,https://file1.dxycdn.com/2020/0317/267/3402535566531994221-135.json
149,1160776.0,1584429696000.0,1584429696000.0,,2,非洲,10,马约特,,,1,1,0,0,0,,0.0,chend,0,MYT,Mayotte,https://file1.dxycdn.com/2020/0317/329/3402535551499809905-135.json
150,1160778.0,1584429696000.0,1584429696000.0,,2,北美洲,10,格陵兰,,,1,1,0,0,0,,0.0,chend,0,GRL,Greenland,
151,1160779.0,1584429696000.0,1584429696000.0,,2,非洲,10,坦桑尼亚,,,1,1,0,0,0,,0.0,chend,985009,TZA,Tanzania,
152,1160799.0,1584429696000.0,1584429696000.0,,2,南美洲,10,圣卢西亚,,,1,1,0,0,0,,0.0,chend,974011,LCA,Saint Lucia,https://file1.dxycdn.com/2020/0317/755/3402535592301799597-135.json
153,1160204.0,1584429695000.0,1584429695000.0,,2,亚洲,10,尼泊尔,,,0,1,0,1,0,,0.0,chend,953005,NPL,Nepal,https://file1.dxycdn.com/2020/0315/813/3402160536430196712-135.json
154,1160753.0,1584429696000.0,1584429696000.0,,2,非洲,10,苏丹,,,0,1,0,0,1,,0.0,chend,981005,SDN,Sudan,https://file1.dxycdn.com/2020/0315/234/3402176442841870487-135.json
155,1160774.0,1584429696000.0,1584429696000.0,,2,北美洲,10,开曼群岛,,,0,1,0,0,1,,0.0,chend,0,CYM,Cayman Islands,https://file1.dxycdn.com/2020/0317/570/3402535585859348238-135.json
